Company Name (English),Ticker,Classification
Spirox Corp.,3055,Test & Inspection Equipment; Semiconductor Distribution
LEI,3058,Power & Thermal Components
Altek,3059,Sensors & Optical Modules
NDB,3090,Semiconductor Distribution
HOTRON,3092,Interconnect
DAVICOM,3094,Connectivity & Interface IC Design
Goldkey Tech.,3135,Memory
G-TECH,3149,Display & Optical Components
DATA IMAGE,3168,Display & Optical Components
KINSUS,3189,IC Substrates
ALLTEK,3209,Semiconductor Distribution
CHEER TIME,3229,PCB & Flex Circuits
CHAMPION,3257,Analog & Power IC Design
POWERTECH,3296,Power & Thermal Components
SHENMAO,3305,Packaging Materials
BESTEC,3308,Power & Thermal Components
GMI,3312,Semiconductor Distribution
UNIFLEX,3321,PCB & Flex Circuits
TAISOL,3338,Power & Thermal Components
GeoVision,3356,Sensors & Optical Modules
SZS,3376,Precision Mechanics
GSEO,3406,Sensors & Optical Modules
Fiti,3413,Fab Equipment & Automation
TAI TWUN,3432,Power & Thermal Components
AOT,3437,LED & Optoelectronics
GUC,3443,IP & Design Services
ELASER,3450,OSAT
INX,3481,Display & Optical Components
Well Shin,3501,Interconnect
Young Optics,3504,Sensors & Optical Modules
PT TECH.,3518,Wafer & Process Materials
ANSTEK,3528,Semiconductor Distribution
SOI,3530,Sensor & Imaging IC Design
FST,3532,Wafer & Process Materials
LOTES,3533,Interconnect
Favite,3535,Test & Inspection Equipment
JOCHU,3543,Precision Mechanics
FocalTech,3545,Display IC Design
COPARTNER,3550,Interconnect
MACHVISION,3563,Test & Inspection Equipment
URE,3576,Solar & PV
Scientech,3583,Fab Equipment & Automation; Wafer & Process Materials
LD,3588,Analog & Power IC Design
EDISON OPTO,3591,LED & Optoelectronics
Raydium,3592,Display IC Design
Logah,3593,Precision Mechanics
ACES,3605,Interconnect
Coxon,3607,Precision Mechanics
CyberPower,3617,Power & Thermal Components
YFO,3622,Display & Optical Components
TMT,3645,CCL & PCB Materials
JENTECH,3653,Power & Thermal Components
Alchip,3661,IP & Design Services
BHI (BizLink),3665,Interconnect
TPK,3673,Display & Optical Components
Nishoku,3679,Precision Mechanics
Danen,3686,Semiconductor Distribution
WPG,3702,Semiconductor Distribution
ASEH,3711,OSAT
ENNOSTAR,3714,LED & Optoelectronics
Dynamic Holding,3715,PCB & Flex Circuits
MAP,4545,Precision Mechanics
TRI,4585,Fab Equipment & Automation
Arch Meter,4588,Power & Thermal Components
Lemtech-KY,4912,Precision Mechanics
Primax,4915,EMS & ODM; Sensors & Optical Modules
NTC,4919,Logic IC Design
Apex,4927,PCB & Flex Circuits
Tainergy,4934,Solar & PV
GLT,4935,Display & Optical Components
Chia Chang,4942,Precision Mechanics
CONCRAFT,4943,Interconnect
WIN WIN,4949,LED & Optoelectronics
Generalplus,4952,Logic IC Design
Epileds,4956,LED & Optoelectronics
ZDT,4958,PCB & Flex Circuits
CMMT,4960,Display & Optical Components
FITIPOWER,4961,Analog & Power IC Design
TEAM,4967,Memory
Richwave,4968,Connectivity & Interface IC Design
Calin,4976,Sensors & Optical Modules
LCYT,4989,CCL & PCB Materials
Sinher,4999,Precision Mechanics
TRANSCOM,5222,Connectivity & Interface IC Design
EASTECH,5225,EMS & ODM
DAXIN,5234,Wafer & Process Materials
ESON,5243,Precision Mechanics
BRIGHTEK,5244,LED & Optoelectronics
Asmedia,5269,Connectivity & Interface IC Design
Jih Lin,5285,Packaging Materials
TOPCO,5434,Wafer & Process Materials; Semiconductor Distribution
HSB,5469,PCB & Flex Circuits
SONIX,5471,Logic IC Design
EverFocus,5484,Sensors & Optical Modules
APCB INC.,6108,PCB & Flex Circuits
I-SHENG,6115,Interconnect
Hannstar,6116,Display & Optical Components
DARWIN,6120,Display & Optical Components
GBE,6133,Interconnect
L & K,6139,Fab Equipment & Automation
PLOTECH,6141,PCB & Flex Circuits
Career Tech.,6153,PCB & Flex Circuits
KC,6155,Passive Components
LEDTECH,6164,LED & Optoelectronics
HARVATEK CORPOR,6168,LED & Optoelectronics
ROEC,6176,Display & Optical Components
Promate,6189,Semiconductor Distribution
GBM,6191,PCB & Flex Circuits
LUMAX,6192,Fab Equipment & Automation
MIC,6196,Fab Equipment & Automation
JPC,6197,Interconnect
YAHORNG,6201,EMS & ODM
HOLTEK,6202,Logic IC Design
COXOC,6205,Interconnect
KINKO,6209,Sensors & Optical Modules
ITEQ,6213,CCL & PCB Materials
Aurotek,6215,Fab Equipment & Automation
PTTC.,6224,Passive Components
aiPlex,6225,Sensors & Optical Modules
Para Light,6226,LED & Optoelectronics
PTI,6239,OSAT
ENE,6243,Logic IC Design
SIGURD,6257,OSAT
FLEXIUM,6269,PCB & Flex Circuits
THEIL,6271,OSAT
WIESON,6272,Interconnect
TSMT,6278,EMS & ODM
Acbel,6282,Power & Thermal Components
SOE,6283,EMS & ODM
ONANO,6405,Display & Optical Components
VOLTRONIC,6409,Power & Thermal Components
Chicony Power,6412,Power & Thermal Components
Silergy,6415,Analog & Power IC Design
SAA,6438,Fab Equipment & Automation
TSEC,6443,Solar & PV
APAQ,6449,Passive Components
ShunSin,6451,OSAT
GIS,6456,Display & Optical Components
Anji,6477,Solar & PV
WinWay,6515,Test & Inspection Equipment
GEM,6525,OSAT
Airoha,6526,Connectivity & Interface IC Design
AP Memory,6531,Memory; Logic IC Design
ANDES,6533,IP & Design Services
JMC,6552,IC Substrates; Packaging Materials
SYNergy,6558,Power & Thermal Components
HY,6573,Discrete & Power Semiconductors
SynPower,6658,Fab Equipment & Automation
Zhong Yang,6668,Sensors & Optical Modules
Ventec,6672,CCL & PCB Materials
YANKEY,6691,Fab Equipment & Automation
iCatchtek,6695,Sensor & Imaging IC Design
FINEMAT,6698,Wafer & Process Materials
FitTech,6706,Test & Inspection Equipment
Lintes,6715,Interconnect
uPI,6719,Analog & Power IC Design
Whetron,6722,EMS & ODM
Vti,6742,Sensors & Optical Modules
AMPACS,6743,EMS & ODM
VLI,6756,Connectivity & Interface IC Design
PSMC,6770,Foundry; Memory
Weblink,6776,Semiconductor Distribution
AES-KY,6781,Power & Thermal Components
VisEra,6789,OSAT; Sensor & Imaging IC Design
M3TEK,6799,Analog & Power IC Design
Fositek,6805,Precision Mechanics
MSS,6830,Test & Inspection Equipment
EVEROHMS,6834,Passive Components
CMI,6835,PCB & Flex Circuits; Interconnect
TRIO-KY,6862,Passive Components
tCt,6909,Test & Inspection Equipment
WINSTAR,6916,Display & Optical Components
Skytech,6937,Fab Equipment & Automation
ITH-KY,6962,Display IC Design
iGo-KY,7749,Logic IC Design
PVI,7768,Wafer & Process Materials
HON,7769,Test & Inspection Equipment
SONG CHUAN,7788,Passive Components
EPM,7795,Fab Equipment & Automation
V5 TECHNOLOGIES,7822,Test & Inspection Equipment
Sitronix,8016,Display IC Design
Topoint,8021,Fab Equipment & Automation
PSI,8028,Wafer & Process Materials
TAIFLEX,8039,CCL & PCB Materials
N.P.C,8046,IC Substrates
CHANG WAH,8070,Packaging Materials; Semiconductor Distribution
AV TECH,8072,Semiconductor Distribution
GMT,8081,Analog & Power IC Design
CviLux,8103,Interconnect
RiTdisplay,8104,Display & Optical Components
GiantPlus,8105,Display & Optical Components
WALTON,8110,OSAT
Supreme,8112,Semiconductor Distribution
FATC,8131,OSAT
ChipMOS,8150,OSAT
tpt,8213,PCB & Flex Circuits
BMC,8215,Display & Optical Components
CSI,8249,Sensors & Optical Modules
APEC,8261,Discrete & Power Semiconductors
Apacer,8271,Memory
